,time,total_views,stream_viewers
0,2019-04-07 09:25:03.347447,1116887789,29324
0,2019-04-07 09:40:03.915818,1116887789,29228
0,2019-04-07 09:55:04.377155,1116905009,31990
0,2019-04-07 10:10:04.851677,1116905009,22470
0,2019-04-07 10:25:08.491465,1116920933,19169
0,2019-04-07 10:40:08.889551,1116920933,12796
0,2019-04-07 10:55:09.314307,1116953243,16694
0,2019-04-07 11:10:12.091151,1116953243,23525
0,2019-04-07 11:25:15.566432,1116985976,32548
0,2019-04-07 11:40:19.769222,1117037517,61225
0,2019-04-07 11:55:20.252177,1117037517,80618
0,2019-04-07 12:10:21.970849,1117037517,131654
0,2019-04-07 12:25:22.449380,1117130762,172758
0,2019-04-07 12:40:22.934655,1117130762,196142
0,2019-04-07 12:55:25.743573,1117222267,173295
0,2019-04-07 13:10:26.303428,1117305741,184619
0,2019-04-07 13:25:26.734348,1117305741,209042
0,2019-04-07 13:40:27.676468,1117374925,186951
0,2019-04-07 13:55:28.071550,1117374925,192538
0,2019-04-07 14:10:28.519517,1117461800,216851
0,2019-04-07 14:25:28.903070,1117461800,217883
0,2019-04-07 14:40:29.305534,1117527758,125926
0,2019-04-07 14:55:29.717397,1117527758,88347
0,2019-04-07 15:10:30.139178,1117565405,
0,2019-04-07 15:25:30.511759,1117565405,
0,2019-04-07 15:40:30.900926,1117568652,
0,2019-04-07 15:55:31.355849,1117568652,
0,2019-04-07 16:10:31.941348,1117570362,
0,2019-04-07 16:25:34.598892,1117570362,
0,2019-04-07 16:40:35.048103,1117571529,
