,time,follower_count
0,2019-04-07 09:25:09.022019,3538226
0,2019-04-07 09:40:10.865638,3538277
0,2019-04-07 09:55:11.619294,3538343
0,2019-04-07 10:10:12.423483,3538440
0,2019-04-07 10:25:13.080500,3538493
0,2019-04-07 10:40:13.709348,3538525
0,2019-04-07 10:55:14.394573,3538587
0,2019-04-07 11:10:15.038909,3538682
0,2019-04-07 11:25:15.838593,3538753
0,2019-04-07 11:40:20.243331,3538925
0,2019-04-07 11:55:20.917954,3539129
0,2019-04-07 12:10:22.031966,3539335
0,2019-04-07 12:25:22.518465,3539555
0,2019-04-07 12:40:23.045562,3539786
0,2019-04-07 12:55:25.779875,3540104
0,2019-04-07 13:10:26.253526,3540346
0,2019-04-07 13:25:26.955798,3540532
0,2019-04-07 13:40:27.460373,3540773
0,2019-04-07 13:55:27.854125,3541030
0,2019-04-07 14:10:28.296123,3541230
0,2019-04-07 14:25:28.990010,3541408
0,2019-04-07 14:40:29.670772,3541588
0,2019-04-07 14:55:30.377137,3541693
0,2019-04-07 15:10:31.092072,3541710
0,2019-04-07 15:25:32.834530,3541713
0,2019-04-07 15:40:33.561617,3541716
0,2019-04-07 15:55:34.007878,3541719
0,2019-04-07 16:10:34.625754,3541713
0,2019-04-07 16:25:35.273291,3541714
0,2019-04-07 16:40:35.940059,3541714
