,time,follower_count
0,2019-04-07 09:25:09.757344,5528414
0,2019-04-07 09:40:10.906750,5529058
0,2019-04-07 09:55:11.565684,5529674
0,2019-04-07 10:10:12.225461,5530278
0,2019-04-07 10:25:12.841339,5530886
0,2019-04-07 10:40:13.477401,5531455
0,2019-04-07 10:55:14.118203,5532008
0,2019-04-07 11:10:14.776167,5532670
0,2019-04-07 11:25:15.575206,5533238
0,2019-04-07 11:40:19.820728,5533813
0,2019-04-07 11:55:20.608888,5534374
0,2019-04-07 12:10:22.123544,5535019
0,2019-04-07 12:25:22.564845,5535609
0,2019-04-07 12:40:23.266651,5536176
0,2019-04-07 12:55:25.984969,5536747
0,2019-04-07 13:10:26.697936,5537274
0,2019-04-07 13:25:27.206034,5537808
0,2019-04-07 13:40:28.146984,5538523
0,2019-04-07 13:55:28.813211,5539026
0,2019-04-07 14:10:29.233171,5539593
0,2019-04-07 14:25:29.700246,5540107
0,2019-04-07 14:40:30.220232,5540680
0,2019-04-07 14:55:30.662441,5541192
0,2019-04-07 15:10:31.208992,5541761
0,2019-04-07 15:25:31.828704,5542241
0,2019-04-07 15:40:32.439492,5542679
0,2019-04-07 15:55:32.876510,5543054
0,2019-04-07 16:10:33.521198,5543463
0,2019-04-07 16:25:34.820714,5543858
0,2019-04-07 16:40:35.469772,5544191
