,time,total_views,stream_viewers
0,2019-04-07 09:25:08.550163,438405253,22556
0,2019-04-07 09:40:10.490886,438405253,16621
0,2019-04-07 09:55:10.903099,438429262,15311
0,2019-04-07 10:10:11.492140,438429262,14747
0,2019-04-07 10:25:12.067618,438446693,15226
0,2019-04-07 10:40:12.519581,438446693,16808
0,2019-04-07 10:55:12.947338,438467558,16770
0,2019-04-07 11:10:13.347694,438467558,16360
0,2019-04-07 11:25:15.621975,438485973,16003
0,2019-04-07 11:40:19.836973,438503320,16132
0,2019-04-07 11:55:20.258262,438503320,17178
0,2019-04-07 12:10:21.979949,438503320,16760
0,2019-04-07 12:25:22.488184,438524035,16777
0,2019-04-07 12:40:23.030492,438524035,16532
0,2019-04-07 12:55:25.652469,438543405,15751
0,2019-04-07 13:10:26.074166,438543405,15953
0,2019-04-07 13:25:26.564730,438562384,13482
0,2019-04-07 13:40:27.059799,438577748,13274
0,2019-04-07 13:55:27.824303,438577748,13854
0,2019-04-07 14:10:28.262109,438594653,13822
0,2019-04-07 14:25:28.715781,438594653,12823
0,2019-04-07 14:40:29.112851,438608662,13573
0,2019-04-07 14:55:29.556973,438608662,13747
0,2019-04-07 15:10:29.999644,438623185,12504
0,2019-04-07 15:25:30.405559,438623185,
0,2019-04-07 15:40:30.856518,438628631,
0,2019-04-07 15:55:31.363887,438628631,
0,2019-04-07 16:10:31.889368,438629904,
0,2019-04-07 16:25:34.551330,438629904,
0,2019-04-07 16:40:35.053796,438630979,
