,time,follower_count
0,2019-04-07 09:25:12.076698,6114184
0,2019-04-07 09:40:12.753912,6114236
0,2019-04-07 09:55:13.833177,6114283
0,2019-04-07 10:10:27.986445,6114320
0,2019-04-07 10:25:28.768570,6114369
0,2019-04-07 10:40:29.637581,6114416
0,2019-04-07 10:55:30.313479,6114468
0,2019-04-07 11:10:30.757741,6114505
0,2019-04-07 11:25:31.982707,6114565
0,2019-04-07 11:40:46.460742,6114602
0,2019-04-07 11:55:47.195936,6114644
0,2019-04-07 12:10:48.235799,6114694
0,2019-04-07 12:25:50.071838,6114733
0,2019-04-07 12:40:53.079017,6114782
0,2019-04-07 12:55:56.179353,6114844
0,2019-04-07 13:11:00.470688,6114893
0,2019-04-07 13:26:03.080174,6114931
0,2019-04-07 13:41:03.549646,6114987
0,2019-04-07 13:56:10.360149,6115038
0,2019-04-07 14:11:13.018033,6115107
0,2019-04-07 14:26:13.748490,6115232
0,2019-04-07 14:41:14.219629,6115363
0,2019-04-07 14:56:14.931056,6115475
0,2019-04-07 15:11:19.513204,6115609
0,2019-04-07 15:26:20.427474,6115737
0,2019-04-07 15:41:23.137499,6115851
0,2019-04-07 15:56:27.563095,6115942
0,2019-04-07 16:11:28.692449,6116048
0,2019-04-07 16:26:29.396776,6116144
0,2019-04-07 16:41:29.831327,6116295
