,time,total_views,stream_viewers
0,2019-04-07 09:25:05.505081,296441467,
0,2019-04-07 09:40:19.345967,296441467,
0,2019-04-07 09:55:19.791700,296442162,
0,2019-04-07 10:10:20.262855,296442875,
0,2019-04-07 10:25:20.810815,296442875,
0,2019-04-07 10:40:21.285900,296442875,
0,2019-04-07 10:55:21.746310,296443663,
0,2019-04-07 11:10:22.319896,296443663,
0,2019-04-07 11:25:22.777309,296444445,
0,2019-04-07 11:40:23.260899,296445231,
0,2019-04-07 11:55:23.869138,296445231,
0,2019-04-07 12:10:24.257044,296446137,
0,2019-04-07 12:25:28.101966,296446137,
0,2019-04-07 12:40:29.408015,296446137,
0,2019-04-07 12:55:29.825507,296447023,
0,2019-04-07 13:10:30.240091,296447916,
0,2019-04-07 13:25:30.675359,296447916,
0,2019-04-07 13:40:31.094324,296448718,
0,2019-04-07 13:55:31.500081,296448718,
0,2019-04-07 14:10:31.915511,296458895,10014
0,2019-04-07 14:25:32.326866,296458895,13147
0,2019-04-07 14:40:32.718302,296487522,16106
0,2019-04-07 14:55:33.129170,296487522,19668
0,2019-04-07 15:10:33.530832,296517572,24061
0,2019-04-07 15:25:34.025025,296517572,20313
0,2019-04-07 15:40:34.493292,296547385,20187
0,2019-04-07 15:55:34.905858,296547385,20037
0,2019-04-07 16:10:35.291843,296570719,19859
0,2019-04-07 16:25:35.668965,296570719,20850
0,2019-04-07 16:40:36.070236,296595285,21264
