,time,follower_count
0,2019-04-07 09:25:12.766922,3775741
0,2019-04-07 09:40:13.747695,3775740
0,2019-04-07 09:55:17.502569,3775749
0,2019-04-07 10:10:18.363430,3775763
0,2019-04-07 10:25:19.092911,3775780
0,2019-04-07 10:40:19.905981,3775786
0,2019-04-07 10:55:20.739882,3775797
0,2019-04-07 11:10:22.255102,3775800
0,2019-04-07 11:25:23.016182,3775808
0,2019-04-07 11:40:23.738531,3775816
0,2019-04-07 11:55:24.202626,3775825
0,2019-04-07 12:10:24.672921,3775828
0,2019-04-07 12:25:28.462251,3775846
0,2019-04-07 12:40:32.825463,3775847
0,2019-04-07 12:55:36.112649,3775855
0,2019-04-07 13:10:40.725056,3775866
0,2019-04-07 13:25:42.677964,3775878
0,2019-04-07 13:40:43.447574,3775889
0,2019-04-07 13:55:44.769260,3775904
0,2019-04-07 14:10:45.440568,3775913
0,2019-04-07 14:25:46.121813,3775924
0,2019-04-07 14:40:48.945195,3775931
0,2019-04-07 14:55:49.504960,3775938
0,2019-04-07 15:10:49.947248,3775955
0,2019-04-07 15:25:54.124521,3775996
0,2019-04-07 15:40:54.549535,3776062
0,2019-04-07 15:55:57.280589,3776139
0,2019-04-07 16:10:58.080130,3776213
0,2019-04-07 16:25:58.618246,3776304
0,2019-04-07 16:41:00.685747,3776380
