,time,total_views,stream_viewers
0,2019-04-07 09:25:16.630365,279890832,
0,2019-04-07 09:40:19.347438,279890832,
0,2019-04-07 09:55:19.778898,279891037,
0,2019-04-07 10:10:20.213951,279891204,
0,2019-04-07 10:25:20.809218,279891204,
0,2019-04-07 10:40:21.253054,279891204,
0,2019-04-07 10:55:21.722273,279891839,
0,2019-04-07 11:10:22.304596,279892345,
0,2019-04-07 11:25:22.778278,279892345,
0,2019-04-07 11:40:23.260200,279892808,
0,2019-04-07 11:55:23.920142,279892808,
0,2019-04-07 12:10:24.304090,279893392,
0,2019-04-07 12:25:28.108977,279893392,
0,2019-04-07 12:40:29.921964,279893917,
0,2019-04-07 12:55:30.362576,279893917,
0,2019-04-07 13:10:30.847405,279894508,
0,2019-04-07 13:25:31.279546,279894508,
0,2019-04-07 13:40:31.700904,279895102,
0,2019-04-07 13:55:32.083422,279895102,
0,2019-04-07 14:10:32.498081,279895749,
0,2019-04-07 14:25:32.968619,279895749,
0,2019-04-07 14:40:33.347847,279896415,
0,2019-04-07 14:55:33.757284,279896415,
0,2019-04-07 15:10:34.158543,279897376,1044
0,2019-04-07 15:25:34.585405,279897376,17368
0,2019-04-07 15:40:34.978264,279919842,30338
0,2019-04-07 15:55:35.495090,279919842,35967
0,2019-04-07 16:10:35.927433,279941013,40325
0,2019-04-07 16:25:36.335118,279941013,42244
0,2019-04-07 16:40:36.730349,279959111,41904
